SETTLEMENTDATE,REGIONID,RRP
2025-07-02 20:20:00,VIC1,189.33021
2025-07-02 20:25:00,VIC1,211.10923
2025-07-02 20:30:00,VIC1,187.90574
2025-07-02 20:35:00,VIC1,237.99
2025-07-02 20:40:00,VIC1,226.69422
2025-07-02 20:45:00,VIC1,227.78578
2025-07-02 20:50:00,VIC1,230.51469
2025-07-02 20:55:00,VIC1,228.28181
2025-07-02 21:00:00,VIC1,220.56163
2025-07-02 21:05:00,VIC1,237.99
2025-07-02 21:10:00,VIC1,232.2972
2025-07-02 21:15:00,VIC1,236.66612
2025-07-02 21:20:00,VIC1,236.09889
2025-07-02 21:25:00,VIC1,231.08143
2025-07-02 21:30:00,VIC1,202.49733
2025-07-02 21:35:00,VIC1,199.42501
2025-07-02 21:40:00,VIC1,231.14276
2025-07-02 21:45:00,VIC1,229.87806
2025-07-02 21:50:00,VIC1,202.30555
2025-07-02 21:55:00,VIC1,210.29854
2025-07-02 22:00:00,VIC1,199.57011
2025-07-02 22:05:00,VIC1,228.91805
2025-07-02 22:10:00,VIC1,200.02
2025-07-02 22:15:00,VIC1,226.61585
2025-07-02 22:20:00,VIC1,202.88422
2025-07-02 22:25:00,VIC1,200.02
2025-07-02 22:30:00,VIC1,200.02
2025-07-02 22:35:00,VIC1,200.02
2025-07-02 22:40:00,VIC1,200.02
2025-07-02 22:45:00,VIC1,200.02
2025-07-02 22:50:00,VIC1,200.02
2025-07-02 22:55:00,VIC1,182.21081
2025-07-02 23:00:00,VIC1,161.68917
2025-07-02 23:05:00,VIC1,291.70219
2025-07-02 23:10:00,VIC1,215.49699
2025-07-02 23:15:00,VIC1,218.24833
2025-07-02 23:20:00,VIC1,189.86007
2025-07-02 23:25:00,VIC1,185.08764
2025-07-02 23:30:00,VIC1,211.61896
2025-07-02 23:35:00,VIC1,210.60578
2025-07-02 23:40:00,VIC1,215.49699
2025-07-02 23:45:00,VIC1,217.68143
2025-07-02 23:50:00,VIC1,218.77364
2025-07-02 23:55:00,VIC1,216.56902
2025-07-03 00:00:00,VIC1,214.77873
2025-07-03 00:05:00,VIC1,211.96319
2025-07-03 00:10:00,VIC1,170.80039
2025-07-03 00:15:00,VIC1,160.36
2025-07-03 00:20:00,VIC1,163.22984
2025-07-03 00:25:00,VIC1,160.0001
2025-07-03 00:30:00,VIC1,160.08
2025-07-03 00:35:00,VIC1,194.96197
2025-07-03 00:40:00,VIC1,181.10426
2025-07-03 00:45:00,VIC1,172.04705
2025-07-03 00:50:00,VIC1,183.03645
2025-07-03 00:55:00,VIC1,194.08652
2025-07-03 01:00:00,VIC1,150.99
2025-07-03 01:05:00,VIC1,178.88724
2025-07-03 01:10:00,VIC1,179.33895
2025-07-03 01:15:00,VIC1,160.0001
2025-07-03 01:20:00,VIC1,119.5
2025-07-03 01:25:00,VIC1,150.99
2025-07-03 01:30:00,VIC1,160.0001
2025-07-03 01:35:00,VIC1,120.73195
2025-07-03 01:40:00,VIC1,119.5
2025-07-03 01:45:00,VIC1,121.67007
2025-07-03 01:50:00,VIC1,121.59128
2025-07-03 01:55:00,VIC1,121.58989
2025-07-03 02:00:00,VIC1,121.73237
2025-07-03 02:05:00,VIC1,159.22
2025-07-03 02:10:00,VIC1,119.5
2025-07-03 02:15:00,VIC1,119.5
2025-07-03 02:20:00,VIC1,131.56838
2025-07-03 02:25:00,VIC1,159.22
2025-07-03 02:30:00,VIC1,119.5
